"id","category","objective","persona","title","prompt","tags","level","heartbeat","expected_output"
"M011","Prospection commerciale","Découvrir","Investisseur","Founders pré-seed dans mon réseau qui n'ont pas encore levé","Identifie dans mon réseau LinkedIn les founders qui ont lancé un projet récent et qui n'ont probablement pas encore levé.

SIGNAUX À DÉTECTER
- Changement récent de poste vers ""Founder"", ""Co-founder"", ""CEO at [nouvelle boîte]""
- Création d'une nouvelle entité (page LinkedIn entreprise <12 mois)
- Posts évoquant le lancement, le MVP, les premiers clients
- Pas d'annonce visible de levée de fonds dans les 18 derniers mois

THÈSE D'INVESTISSEMENT
- Secteurs ciblés : [À COMPLÉTER]
- Ticket : [À COMPLÉTER]
- Géographie : [À COMPLÉTER]

POUR CHAQUE FOUNDER
- Nom + projet + ce que la boîte fait en 1 phrase
- Maturité estimée (idée / MVP / premiers revenus / traction)
- Pourquoi c'est aligné avec ma thèse
- Hook d'approche : ""j'aimerais qu'on se parle parce que [...]""

Trie par alignement avec ma thèse.","pré-seed,deal-flow,founders-emergents","avancé","oui","Deal flow de founders pré-seed alignés thèse"
"M012","Prospection commerciale","Découvrir","Consultant","Missions de conseil potentielles dans mon réseau","Trouve dans mon réseau LinkedIn les opportunités de mission de conseil pour mon expertise.

MON EXPERTISE
[À COMPLÉTER : domaine, années d'XP, types de missions typiques]

SIGNAUX D'OPPORTUNITÉ
- Post d'un dirigeant exprimant une douleur que je peux résoudre
- Embauche récente d'un C-level (souvent il faut un consultant pour épauler 6-12 mois)
- Levée de fonds (besoin de structuration)
- Nouveau projet / lancement / pivot stratégique
- Demande de freelance/consultant dans des posts ou commentaires

POUR CHAQUE OPPORTUNITÉ
- Boîte + décideur
- Signal exact détecté (avec citation si possible)
- Pourquoi mon expertise matche
- Angle d'approche en 2 phrases

Trie par chaleur du signal et probabilité de budget disponible.","mission-conseil,freelance,signaux-besoins","intermédiaire","oui","Opportunités de missions ciblées"
"M013","Recherche d'emploi","Découvrir","Job seeker","Toutes les offres pertinentes près de chez moi cette semaine","Trouve les offres d'emploi correspondant à mon profil dans ma zone géographique.

MON PROFIL
- Poste cherché : [À COMPLÉTER]
- Stack / compétences : [À COMPLÉTER]
- Années d'expérience : [À COMPLÉTER]
- Type de contrat : [CDI / freelance / mission]
- Géographie : [À COMPLÉTER : ville + rayon km accepté ou télétravail]
- Salaire min souhaité : [À COMPLÉTER]
- Secteurs à éviter : [À COMPLÉTER éventuellement]

SOURCES À CROISER
- Posts LinkedIn de recruteurs et dirigeants
- Pages entreprises de mon réseau qui ont publié une offre
- Mentions ""we're hiring"" / ""rejoins-nous"" dans les 14 derniers jours

POUR CHAQUE OFFRE
- Titre + entreprise + lieu + type contrat
- Recruteur LinkedIn identifiable (avec lien profil)
- Niveau d'adéquation 1-5 vs mon profil
- Action recommandée (postuler / contacter direct le recruteur / passer)

Trie par adéquation décroissante. Liste exhaustive (pas de limite haute).","offres-emploi,veille-active,geographie","débutant","oui","Liste hebdo d'offres scorées"
"M014","Recherche d'emploi","Cibler","Job seeker","Mes 3 candidatures les plus stratégiques cette semaine","Parmi toutes les offres détectées dans mon réseau, identifie les 3 candidatures les plus stratégiques pour moi cette semaine.

MON PROFIL
[À COMPLÉTER : poste cible, années XP, géographie, salaire visé]

CRITÈRES DE PRIORISATION
1. Adéquation parfaite avec mon profil (couvre 80%+ du brief)
2. Probabilité de passer le filtre RH (réseau pour intro warm, ou recruteur connu)
3. Qualité de l'opportunité (boîte en croissance, salaire conforme, stack alignée)
4. Fenêtre de tir (offre récente, peu de candidats apparents)

POUR CHAQUE TOP 3
- Pourquoi celle-ci est top 3
- Le warm intro disponible dans mon réseau (qui peut me recommander)
- Le hook que je dois mettre dans ma lettre / mon DM
- L'action concrète à faire dans les 48h","top-3,candidature-strategique,warm-intro","intermédiaire","non","Top 3 candidatures avec plan d'action 48h"
"M015","Recherche d'emploi","Surveiller","Job seeker","Veille continue sur mes boîtes cibles","Surveille en continu ces entreprises et préviens-moi dès qu'elles publient une offre, embauchent, ou émettent un signal de croissance.

MES BOÎTES CIBLES
[À COMPLÉTER : liste]

POSTES À DÉTECTER
[À COMPLÉTER : intitulés exacts ou famille de rôles]

SIGNAUX SECONDAIRES (à remonter en agrégé hebdo)
- Recrutement massif d'autres profils (signal de croissance)
- Levée de fonds
- Lancement produit
- Changement de C-level

Notification : ""[Entreprise] | [Événement] | [Action recommandée]"" en 1 ligne.","boites-cibles,veille,heartbeat,whatsapp","intermédiaire","oui","Alertes ciblées par boîte"
"M016","Recherche d'emploi","Activer","Job seeker","Message LinkedIn percutant pour [RECRUTEUR] sur l'offre [POSTE]","Rédige un message LinkedIn pour contacter [NOM DU RECRUTEUR] qui a publié une offre pour [POSTE] chez [ENTREPRISE].

MON PROFIL
- Mon poste actuel : [À COMPLÉTER]
- 3 réussites mesurables que je peux mettre en avant : [À COMPLÉTER]
- Pourquoi cette boîte / ce poste m'intéresse spécifiquement : [À COMPLÉTER]

CONTRAINTES DE STYLE
- Maximum 5 phrases
- Pas de ""Bonjour, j'espère que vous allez bien""
- Premier mot doit accrocher
- Référence concrète à l'offre ou à un post du recruteur
- Closing avec une question ouverte ou une proposition de call

Donne 2 variantes : une ""directe et confiante"", une ""humble et curieuse"". Précise quand utiliser laquelle.","message-recruteur,2-variantes,offre-ciblee","débutant","non","2 variantes de DM prêtes à envoyer"
"M017","Recherche d'emploi","Découvrir","Manager","Postes de Head of / VP dans mon secteur","Trouve les postes de niveau Head of / VP / Director / C-level dans mon secteur qui ne sont pas forcément publiés mais visibles via des signaux.

MON PROFIL
[À COMPLÉTER : niveau actuel, secteur, taille d'équipe gérée, géographie]

SIGNAUX À DÉTECTER
- Offres explicites pour ces niveaux dans mon réseau
- Posts d'investisseurs cherchant un C-level pour une boîte de leur portfolio
- Annonces de levée série B+ (souvent suivies de recrutement leadership)
- Départ public d'un Head of / VP dans une boîte cible (ouverture probable)

POUR CHAQUE OPPORTUNITÉ
- Boîte + poste + niveau de visibilité (offre publique vs signal indirect)
- Décideur identifié (CEO, board member, investor, recruteur exec)
- Mon angle d'approche

Trie par opportunités ""cachées"" (signal indirect) en priorité — c'est là qu'il y a le moins de concurrence.","leadership,marche-cache,executive","avancé","oui","Postes leadership avec angle d'approche"
"M018","Sourcing & Recrutement","Découvrir","Recruteur","Candidats passifs qualifiés pour mon poste [INTITULÉ]","Trouve des candidats passifs (= pas en recherche active) qui correspondent à mon brief.

LE BRIEF
- Poste : [À COMPLÉTER]
- Stack technique / compétences clés : [À COMPLÉTER]
- Niveau d'expérience : [À COMPLÉTER]
- Localisation acceptée : [À COMPLÉTER]
- Type contrat : [À COMPLÉTER]
- Salaire range : [À COMPLÉTER]
- Bonus différenciants : [À COMPLÉTER : ex. Open source, conférences, etc.]

CRITÈRES DE QUALIFICATION
1. Profil tech matche le brief à 80%+
2. PAS en recherche active (bannière ""Open to Work"" absente, pas d'application apparente)
3. Signaux de ""bougeabilité"" : ancienneté actuelle 18-36 mois, dernier post critique sur sa boîte, like de posts d'autres recruteurs

POUR CHAQUE CANDIDAT
- Nom + poste + boîte actuelle + URL LinkedIn
- Score d'adéquation /100
- Score de ""bougeabilité"" /100
- Signal qui fait penser qu'il est ouvert à l'écoute
- Hook d'approche personnalisé

Trie par produit (adéquation × bougeabilité). Limite 15 candidats max.","sourcing,candidats-passifs,brief-tech","avancé","oui","15 candidats passifs scorés et hookés"
"M019","Sourcing & Recrutement","Cibler","Recruteur","Mes 5 meilleurs candidats à approcher cette semaine","Parmi tous les candidats que j'ai déjà sourcés sur ce poste, identifie les 5 à approcher en priorité cette semaine.

LE POSTE
[À COMPLÉTER]

CRITÈRES DE PRIORITÉ
- Score adéquation × bougeabilité (déjà calculé)
- Activité LinkedIn récente (signe qu'ils sont visibles et joignables)
- Probabilité qu'ils soient déjà sollicités par d'autres (s'ils sont visibles, je dois passer en premier)
- Disponibilité géographique vs poste

POUR CHAQUE TOP 5
- Pourquoi top 5
- Heure idéale d'envoi du DM (basée sur leurs habitudes LinkedIn si détectables)
- Variation du hook personnalisé
- Plan B si pas de réponse à J+5","top-5,priorisation,outreach","intermédiaire","non","Top 5 candidats avec plan d'attaque"
"M020","Sourcing & Recrutement","Surveiller","Recruteur","Détection de talents en mouvement chez des concurrents","Surveille en continu ces entreprises et alerte-moi dès qu'un de leurs employés émet un signal de mouvement.

ENTREPRISES SURVEILLÉES
[À COMPLÉTER : liste de concurrents ou boîtes ""fournisseurs de talent""]

PROFILS CIBLES
[À COMPLÉTER : intitulés / stacks / séniorités à détecter]

SIGNAUX DE MOUVEMENT
- Like sur posts de recruteurs ou d'autres boîtes du secteur
- Commentaires critiques sur leur boîte actuelle
- Post sur l'évolution de carrière, le burn-out, la quête de sens
- Mise à jour soudaine du profil (compétences, photo, headline)
- Bannière ""Open to Work"" activée

Format ping : ""[Nom] / [Boîte actuelle] / [Signal détecté] / [Action recommandée]"".","veille-talent,concurrents,heartbeat,whatsapp","avancé","oui","Alertes en temps réel sur talents mobiles"
"M021","Sourcing & Recrutement","Activer","Recruteur","Premier message de sourcing pour [CANDIDAT] sur le poste [INTITULÉ]","Rédige le premier message de sourcing à envoyer à [NOM DU CANDIDAT] pour le poste [INTITULÉ].

LE POSTE
[À COMPLÉTER : titre, entreprise, stack, salaire range, USP du poste]

CONTEXTE CANDIDAT
- À inférer depuis son profil
- Mentionner concrètement quelque chose de SON profil (un projet, une compétence, un poste passé)

CONTRAINTES DE STYLE
- Max 6 phrases
- Pas de ""Bonjour, comment allez-vous""
- Pas de ""j'ai un poste génial pour vous""
- Personnaliser au-delà du nom : montrer qu'on a lu son profil
- Donner l'info clé (poste + boîte + 1 chiffre attractif) sans tout déballer
- CTA léger : ""ouvert à 15 min cette semaine ?"" pas ""envoyez-moi votre CV""

Donne 3 variantes : tech-respect (parle stack), business-impact (parle de réussites), human-curieux (parle de parcours).","message-sourcing,3-variantes,personnalisation","débutant","non","3 messages personnalisés pour candidat passif"
"M022","Sourcing & Recrutement","Découvrir","Founder","Premier dev senior à recruter pour ma startup","Trouve dans mon réseau LinkedIn et son 2e degré les développeurs seniors qui pourraient devenir mon premier hire tech.

MA STARTUP
- Mission : [À COMPLÉTER]
- Stade : [pré-seed / seed / Series A]
- Stack actuelle : [À COMPLÉTER]
- Localisation / remote : [À COMPLÉTER]
- Equity range possible : [À COMPLÉTER]

PROFIL CIBLE
- 5+ ans d'expérience tech
- A déjà bossé en startup ou scale-up (pas que en grands groupes)
- Polyvalent (full-stack ou avec affinité produit)
- Signaux ""envie de bouger"" : ancienneté actuelle 2-4 ans, posts sur l'entrepreneuriat, side projects visibles

POUR CHAQUE CANDIDAT
- Pourquoi il pourrait être tenté par mon offre
- Sa motivation probable (argent, mission, équipe, technique, autonomie)
- Risques : sa stack vs la mienne, sa famille, son confort actuel
- Hook d'approche custom

Trie par ""fit founder-dev"" subjectif (énergie, mission, profil).","first-hire,startup,equity,fit-founder","avancé","non","Liste qualifiée de premiers devs hireables"
"M023","Veille & Intelligence économique","Découvrir","Founder","Mes concurrents directs et indirects que je n'ai pas encore identifiés","Identifie sur LinkedIn les entreprises qui pourraient être mes concurrents directs ou indirects.

MA SOLUTION
- Ce que je fais : [À COMPLÉTER en 2 phrases]
- Mon ICP : [À COMPLÉTER]
- Géographie : [À COMPLÉTER]

CRITÈRES
- Concurrents directs : même solution, même ICP, même géographie
- Concurrents indirects : solution différente mais résout la même douleur, OU même solution mais ICP/géo différent
- Concurrents émergents : startup <2 ans avec mots-clés similaires aux miens

POUR CHAQUE CONCURRENT TROUVÉ
- Type (direct / indirect / émergent)
- Différenciation principale vs moi
- Taille estimée (employés LinkedIn)
- Signaux récents (levée, lancement, embauche)
- Niveau de menace 1-5 pour ma roadmap

Trie par menace décroissante. Limite 15.","concurrents,benchmarking,landscape","avancé","oui","Mapping concurrentiel hiérarchisé"
"M024","Veille & Intelligence économique","Surveiller","Founder","Mouvements stratégiques de mes concurrents","Surveille ces concurrents et alerte-moi de tout mouvement stratégique.

MES CONCURRENTS
[À COMPLÉTER : liste]

SIGNAUX À DÉTECTER
- Levée de fonds (montant, lead investor)
- Lancement de produit / nouvelle feature majeure
- Embauche d'un C-level (Head of Sales, VP Marketing, CTO...)
- Pivot ou repositionnement
- Acquisition ou acquisition par
- Faillite, restructuration, layoffs
- Partenariat ou intégration majeure

Format de notification : ""[Concurrent] | [Type d'événement] | [Implication pour moi en 1 phrase] | [Action recommandée]"".","concurrents,heartbeat,strategie,whatsapp","avancé","oui","Alertes en temps réel sur les mouvements"
"M025","Veille & Intelligence économique","Découvrir","Investisseur","Tendances émergentes dans mon secteur de thèse","Identifie les tendances émergentes dans le secteur sur lequel j'investis.

MA THÈSE
- Secteur : [À COMPLÉTER]
- Sous-thèmes : [À COMPLÉTER]
- Géographie : [À COMPLÉTER]

SIGNAUX
- Founders qui changent de poste vers ce secteur
- Posts récurrents sur des concepts / mots-clés émergents
- Levées de fonds récentes (signal d'intérêt VC)
- Nouvelles boîtes créées dans le secteur (<12 mois)
- Hires de talents seniors quittant un secteur pour rejoindre celui-ci

POUR CHAQUE TENDANCE
- Description en 2 phrases
- Boîtes en pointe (3-5 max)
- Investisseurs déjà positionnés
- Signaux qui valident la tendance
- Niveau de maturité (émergent / consolidant / mainstream)","tendances,thesis,emergence,scouting","avancé","oui","Cartographie des tendances avec acteurs clés"
"M026","Veille & Intelligence économique","Cibler","Sales","Comptes cibles avec un signal d'investissement go-to-market","Identifie les boîtes de mon ICP qui viennent d'investir dans leur GTM (sales/marketing) et qui sont donc en mode achat de solutions.

SIGNAUX D'INVESTISSEMENT GTM
- Embauche d'un VP Sales / CRO / VP Marketing dans les 90 derniers jours
- Levée de fonds Série A/B avec mention ""go-to-market"" dans la communication
- Hires multiples dans les équipes commerciales/marketing
- Lancement d'un nouveau marché / nouvelle géographie

MON ICP
[À COMPLÉTER]

POUR CHAQUE COMPTE
- Le signal détecté (date, source)
- Le décideur GTM identifié
- Pourquoi mon offre est pertinente maintenant
- Hook d'approche","GTM,signaux,fenetre-budget,sales-trigger","avancé","oui","Comptes en mode achat avec décideur"
"M027","Veille & Intelligence économique","Découvrir","Manager","Best practices émergentes dans la gestion d'équipes tech","Trouve les meilleurs contenus, frameworks et personnes qui parlent de management tech moderne.

CE QUE JE CHERCHE
- Méthodologies récentes (post-2024)
- Posts à fort engagement de Heads of Engineering / VP Eng
- Études et reports sectoriels cités
- Personnes à suivre pour ne plus rater les évolutions

DOMAINES PRIORITAIRES
[À COMPLÉTER : ex. async work, IA dans dev, performance review, etc.]

POUR CHAQUE INSIGHT
- Le concept / framework / personne
- Pourquoi c'est différent de l'existant
- Comment l'appliquer concrètement dans mon contexte
- Source LinkedIn pour creuser","management,best-practices,veille-pro","intermédiaire","oui","Veille managériale curatée"
"M028","Networking & Relations","Découvrir","Founder","Cartographie de mon réseau : mes clusters cachés","Analyse mon réseau LinkedIn 1er degré et identifie les clusters thématiques cachés que je peux activer.

DIMENSIONS À EXPLORER
- Par entreprise (mes anciens collègues par boîte)
- Par école (mes alumni par formation)
- Par secteur d'activité actuel
- Par géographie
- Par séniorité

POUR CHAQUE CLUSTER PERTINENT
- Nom du cluster
- Nombre de personnes
- Décideurs / ""ponts"" influents dans ce cluster
- Quelle activation possible (intro, événement, contenu ciblé, etc.)

Limite à 10 clusters les plus actionnables pour moi.","cartographie,clusters,reseau-cache","intermédiaire","non","Top 10 clusters avec leviers d'activation"
"M029","Networking & Relations","Cibler","Founder","Les 10 personnes que je dois reconnecter ce mois","Identifie les 10 personnes de mon réseau que je devrais reconnecter ce mois pour des raisons stratégiques.

CRITÈRES
- Connexion ancienne mais qualitative (a déjà eu un échange substantiel avec moi)
- Pas d'interaction depuis 6+ mois
- A bougé professionnellement dans une direction qui peut être utile à mes objectifs actuels
- Ou : a une influence qui peut m'ouvrir des portes
- Ou : a été clé pour moi dans le passé et je dois lui rendre la pareille

MES OBJECTIFS ACTUELS
[À COMPLÉTER : ex. lever des fonds / recruter / vendre / signer un partenariat]

POUR CHAQUE PERSONNE
- Pourquoi reconnecter MAINTENANT
- Sujet d'accroche basé sur sa situation actuelle (pas sur la mienne)
- Type de contact (DM léger / café / call zoom / commentaire d'un post)
- Bénéfice mutuel possible","reconnexion,top-10,strategique","intermédiaire","non","10 reconnexions stratégiques avec hook"
"M030","Networking & Relations","Surveiller","Founder","Anniversaires pro et événements de vie de mon réseau","Surveille mon réseau LinkedIn et préviens-moi quand des personnes clés vivent un événement professionnel important.

ÉVÉNEMENTS À DÉTECTER
- Anniversaire LinkedIn (work anniversary)
- Promotion ou changement de poste
- Lancement d'une nouvelle boîte
- Levée de fonds annoncée
- Publication d'un livre / article / interview majeure
- Récompense ou reconnaissance publique
- Retour de congé maternité/paternité
- Diplôme ou certification

PERSONNES À SURVEILLER EN PRIORITÉ
[À COMPLÉTER : noms ou critères, ex. anciens collègues, clients, prospects]

Format ping : ""[Nom] | [Événement] | [Proposition de message en 1 phrase]"".","anniversaires,evenements-vie,heartbeat,whatsapp","débutant","oui","Notifications WhatsApp sur événements clés"
"M031","Networking & Relations","Activer","Founder","Demande d'intro warm pour rencontrer [PERSONNE CIBLE]","Trouve qui dans mon réseau peut me présenter à [NOM DE LA PERSONNE CIBLE] et rédige le message de demande d'intro.

LA PERSONNE QUE JE VEUX RENCONTRER
- Nom : [À COMPLÉTER]
- Poste / boîte : [À COMPLÉTER]
- Pourquoi je veux la rencontrer : [À COMPLÉTER]

ANALYSE
- Identifie tous les ""ponts"" possibles entre elle et mon réseau
- Score chaque pont sur sa probabilité d'accepter de m'introduire (proximité, dette de gratitude, intérêt commun)

LE MESSAGE
Pour le pont le mieux scoré, rédige le message de demande d'intro :
- Maximum 5 phrases
- Précise ce que je veux exactement
- Donne au pont une raison ÉGOÏSTE de m'aider (pas juste ""rends-moi service"")
- Inclus un ""blurb"" prêt à transférer (3 phrases max décrivant qui je suis et ce que je veux)
- Closing facile à dire NON pour le pont (réduire la pression)","warm-intro,pont,blurb,activation","avancé","non","Pont identifié + message d'intro complet"
"M032","Networking & Relations","Cibler","Sales","Comptes existants où je peux faire de l'expansion via le réseau","Dans mes comptes clients existants, identifie les opportunités d'expansion via mon réseau LinkedIn.

MES COMPTES CLIENTS ACTUELS
[À COMPLÉTER : liste]

OPPORTUNITÉS À DÉTECTER
- Nouveaux décideurs dans le compte (changement récent de C-level)
- Filiales ou divisions du groupe pas encore équipées
- Anciens employés du compte qui sont partis ailleurs (= prospects warm pour moi)
- Personnes de mon réseau qui sont entrées dans le compte récemment

POUR CHAQUE OPPORTUNITÉ
- Compte + personne identifiée
- Type d'opportunité (upsell / cross-sell / new logo via alumni)
- Mon levier d'entrée
- Action recommandée","expansion,upsell,alumni,reseau","avancé","oui","Plan d'expansion réseau par compte"
